badge_id,name,difficulty,is_tracked
2640645200704731,Citadel of real void,11.49,TRUE
1255694647550128,Tower of True Torment,8.52,TRUE
3318334911558428,Tower of Ceaseless Void,PENDING,TRUE
1419534725725526,Mini Citadel of Somewhere Around Fifteen Chairs,8.24,TRUE
1337320115193074,Eternal Torment over H,PENDING,TRUE
1160831349789261,Monstrous Trash Heap,8.32,TRUE
875826744475448,Tower of 10 Obstacles To Victory: Classic,PENDING,TRUE
396925065542225,"Hello, My name is Steeple",8.96,TRUE
1946293568882294,Tower of Btools Difficulty Chart,8.96,TRUE
2324292608778718,Mini Tower for Mini Tower Anarchy of Mini Tower 34,PENDING,TRUE
2201255511815843,Truss Steeple,PENDING,TRUE
553493061259521,Steeple of Swift Rise,8.19,TRUE
848107082483743,Room Of Full Truss Wraparound Spam,8.10,TRUE
2910483079765670,Tower of TSCR Exclusive,9.14,TRUE
578669495710544,Completed Practice Obby,PENDING,TRUE
3863548876961118,Edifice of Fun,8.20,TRUE
1931914588138453,Tower of Painful Purism,9.02,TRUE
2927736678052090,Mini Great Citadel of The Filler Factory,8.04,TRUE
3915107996234122,Tower of Uncanny Unpleasantness,9.04,TRUE
2524751078907430,wraparound a mini tower,8.00,TRUE
3542662518180234,Tower of 20 Obstacles To Victory,8.17,TRUE
3473149649153027,Room of The Vanishing Platforms,8.33,TRUE
4430158448674969,tower of FRIGHTENING,8.85,TRUE
3052408165605329,Tower of Perpetual Speed Required,9.52,TRUE
3065818673135283,Disco Steeple,9.85,TRUE
3242152818707380,Steeple of Integrate By Parts,8.04,TRUE
1619789189726724,Tower of Kindest Pineapple,9.52,TRUE
3877096599228667,Edifice of Denouement,9.01,TRUE
4384057934624346,Steeple of Vanishing Vengeance,9.99,TRUE
2384815882563945,Tower of 40 Obstacles to Victory,9.05,TRUE
4082453687619906,Tower of Cruel Memories,9.64,TRUE
31000664877622,Tower of Die Kurve,8.95,TRUE
4042704661979353,Mini Tower of Weixing,8.05,TRUE
3441686629655079,????,PENDING,TRUE
660857040919839,Tower of Round N' Round,8.93,TRUE
2821226593424979,Room of Beginner,8.00,TRUE
3156293548049207,placeholder,PENDING,TRUE
4356204282031891,Edifice of Purple,8.25,TRUE
1714938037883044,Jumpless Mini Tower,8.23,TRUE
3668410970847866,Steeple of Emptiness,8.15,TRUE
4330443557256328,America Tower,8.50,TRUE
3995658302061046,Tower of Sole Displeasure and Inequity,8.20,TRUE
29197324242293,Steeple of Fractured Memorabiljia,8.95,TRUE
325494897665194,tower of w roblox parts,9.00,TRUE
3363113670143196,Tower of Hecced Computers,9.02,TRUE
438424998886129,Room of Alternate Reality Game,9.05,TRUE
1179882503055335,Bald Horror Steeple Story,9.06,TRUE
2644227246951396,Tower of I Dont Know,9.50,TRUE
3823451697098999,Tower of very very Scary Level,9.50,TRUE
1597000374153170,Great Citadel of The Drive Towards Boredom's Limit,10.05,TRUE
3618178394609977,Mini Citadel of Wrapping The Rooms,10.05,TRUE
219668323430826,Tower of Billy Bob,10.39,TRUE
3746752143585799,"Input Citadel, Legendary",10.34,TRUE
2400689038288332,Tower of Thje Offset,10.75,TRUE
3288539849471493,Edifice of The Journey To Find The One Piece,10.94,TRUE
1354815029999786,Glory of Sigmund,11.10,TRUE
632023348271240,Tower of Wiggle My Pickle,11.21,TRUE
4092507465728342,EoJ,11.78,TRUE
323446940673196,"Tower of Knead That Fried Chicken, Shake That Frie",11.99,TRUE
1976205359628602,Mini Tower of The Evil True Sog's Wrath,12.05,TRUE
426705339147071,Genghis Khan Tower,12.10,TRUE
1848010973121848,Funk of Nobatidao Eladeselasobinubaliepraso,12.12,TRUE
214361062329865,early tower 7,13.91,TRUE
3710254894377905,Tower of Mushroom,13.28,TRUE
1697679524460672,Hat Stack of Top Notch Movement,8.24,TRUE
549988177159231,Your Personal Hell : Sector Baldi,13.50,TRUE
4358556873549122,KillsNYou,9.05,TRUE
